,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Biomass,1699.0,1645.0,1642.0,1648.0,1605.0,1641.0,1617.0,1765.0,1935.0,2032.0,1998.0,1961.0,2046.0,2038.0,2047.0,2012.0,2046.0,1988.0,1939.0,2016.0,2005.0,2072.0,2050.0,2064.0,2072.0,1977.0,2000.0,1887.0,1886.0
Fossil Gas,4008.0,4099.0,3884.0,4138.0,3888.0,4111.0,4229.0,5087.0,5730.0,7177.0,8738.0,10663.0,13137.0,14112.0,13881.0,14132.0,14053.0,13776.0,13807.0,13251.0,12651.0,12690.0,12327.0,12023.0,11690.0,11421.0,10915.0,10343.0,10621.0
Fossil Hard coal,246.0,239.0,236.0,295.0,327.0,278.0,263.0,318.0,299.0,295.0,475.0,889.0,1291.0,1600.0,1604.0,1332.0,1438.0,1236.0,1159.0,1424.0,1604.0,1349.0,1348.0,1217.0,1079.0,1093.0,1127.0,1200.0,1156.0
Fossil Oil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro Pumped Storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,429.0,490.0,436.0,302.0,659.0,516.0,299.0,410.0,554.0,318.0,470.0,357.0,361.0,322.0,316.0,300.0,342.0,330.0
Hydro Run-of-river and poundage,258.0,256.0,256.0,258.0,260.0,259.0,271.0,276.0,275.0,290.0,309.0,344.0,344.0,538.0,634.0,523.0,519.0,498.0,448.0,396.0,322.0,302.0,314.0,294.0,281.0,240.0,258.0,259.0,277.0
Nuclear,7013.0,7026.0,7027.0,7019.0,7030.0,7012.0,7024.0,7008.0,7010.0,7006.0,7009.0,7005.0,7010.0,7000.0,7004.0,6997.0,7008.0,7013.0,7003.0,6999.0,7009.0,6998.0,6993.0,7017.0,6957.0,7008.0,7000.0,6997.0,6995.0
Other,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
Solar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,31.0,163.0,261.0,426.0,648.0,960.0,1320.0,1830.0,2430.0,3020.0,3790.0,4370.0,4930.0,5200.0,5410.0,5880.0,4638.0,5960.0,5710.0,5440.0
Wind Offshore,154.354,154.433,1993.628,153.712,157.298,151.322,151.322,148.998,148.998,152.011,152.011,3540.415,3401.896,157.74,157.74,153.915,153.915,3703.574,155.087,3514.526,156.677,160.416,160.416,3130.208,3247.336,3213.946,3372.277,3220.091,3108.91
Wind Onshore,2292.367,2290.359,4792.068,2181.067,2301.004,2236.422,2236.422,2188.216,2188.216,2156.93,2156.93,4261.791,4107.976,2211.499,2211.499,2300.349,2300.349,5374.396,2349.124,5227.41,2383.404,2338.463,2280.958,5315.4,5111.857,4722.557,5355.772,4833.889,4878.805
